Modelo,Temperatura,Categoria,Accuracy,F1-Score,Precision,Recall
gemma3_4b,0.0,Piso,0.2400,0.2276,0.2167,0.2400
gemma3_4b,0.0,Forro,0.4400,0.5909,0.8991,0.4400
gemma3_4b,0.0,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
gemma3_4b,0.0,Instalação Sanitária,0.0200,0.0392,1.0000,0.0200
gemma3_4b,0.0,Revestimento Interno,0.7000,0.7000,0.7000,0.7000
gemma3_4b,0.0,Acabamento Interno,0.9000,0.8617,0.8265,0.9000
gemma3_4b,0.0,Revestimento Externo,0.0000,0.0000,0.0000,0.0000
gemma3_4b,0.0,Acabamento Externo,0.0000,0.0000,0.0000,0.0000
gemma3_4b,0.0,Cobertura,1.0000,1.0000,1.0000,1.0000
gemma3_4b,0.5,Estrutura,1.0000,1.0000,1.0000,1.0000
gemma3_4b,0.5,Esquadrias,0.0000,0.0000,0.0000,0.0000
gemma3_4b,0.5,Piso,0.2200,0.2185,0.2171,0.2200
gemma3_4b,0.5,Forro,0.4400,0.5909,0.8991,0.4400
gemma3_4b,0.5,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
gemma3_4b,0.5,Instalação Sanitária,0.0200,0.0392,1.0000,0.0200
gemma3_4b,0.5,Revestimento Interno,0.6400,0.6643,0.6905,0.6400
gemma3_4b,0.5,Acabamento Interno,0.9000,0.8617,0.8265,0.9000
gemma3_4b,0.5,Revestimento Externo,0.0000,0.0000,0.0000,0.0000
gemma3_4b,0.5,Acabamento Externo,0.0200,0.0392,0.9400,0.0200
gemma3_4b,0.5,Cobertura,1.0000,1.0000,1.0000,1.0000
gemma3_4b,1.0,Estrutura,1.0000,1.0000,1.0000,1.0000
gemma3_4b,1.0,Esquadrias,0.0000,0.0000,0.0000,0.0000
gemma3_4b,1.0,Piso,0.2600,0.2467,0.2350,0.2600
gemma3_4b,1.0,Forro,0.4400,0.5909,0.8991,0.4400
gemma3_4b,1.0,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
gemma3_4b,1.0,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
gemma3_4b,1.0,Revestimento Interno,0.6200,0.6435,0.6689,0.6200
gemma3_4b,1.0,Acabamento Interno,0.9000,0.8526,0.8100,0.9000
gemma3_4b,1.0,Revestimento Externo,0.0000,0.0000,0.0000,0.0000
gemma3_4b,1.0,Acabamento Externo,0.0200,0.0392,0.9400,0.0200
gemma3_4b,1.0,Cobertura,1.0000,1.0000,1.0000,1.0000
llava_13b,0.0,Estrutura,1.0000,1.0000,1.0000,1.0000
llava_13b,0.0,Esquadrias,0.9000,0.8526,0.8100,0.9000
llava_13b,0.0,Piso,0.1200,0.0257,0.0144,0.1200
llava_13b,0.0,Forro,0.0000,0.0000,0.0000,0.0000
llava_13b,0.0,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
